Subject_ID,Year_Exposure,Role_Group,Actively_Recruited,Recruiter1,Loc_Habitation_State1,Loc_Habitation_City1,Country,lat,long
1364,2018,Unknown,NotRecruited,Not recruited,Wyoming,Casper,United States,42.8501191,-106.325138
1365,2018,NoGroup,NotRecruited,Not recruited,Florida,Miami,United States,25.7741566,-80.1935973
1368,2018,NoGroup,NotRecruited,Not recruited,New Jersey,Princeton,United States,40.3496953,-74.6597376
1370,2018,Unknown,NotRecruited,Not recruited,Oregon,Williams,United States,42.2186765,-123.2739559
1372,2018,NoGroup,NotRecruited,Not recruited,Texas,Beaumont,United States,30.0829344,-94.0984277
1373,2018,NoGroup,NotRecruited,Not recruited,Wyoming,Laramie,United States,41.3116442,-105.5917876
1374,2018,NoGroup,NotRecruited,Not recruited,Washington,Seattle,United States,47.6038321,-122.330062
1413,2019,Leader,NotRecruited,Not recruited,California,Los Angeles,United States,34.0536909,-118.242766
1414,2019,Unknown,Unknown,Unknown,New Jersey,Basking Ridge,United States,40.7064088,-74.5492725
1416,2015,Unknown,Unknown,Unknown,Colorado,Grand Junction,United States,39.0672568,-108.56448
